Ground Truth File,Predicted File,Mean Total Length Error,Mean Scheduling Order Error
146_results_output.csv,146_results_output.csv,0.4357238575539868,0.4282720351542257
148_results_output.csv,148_results_output.csv,0.43149411797167875,0.4081349309572297
150_results_output.csv,150_results_output.csv,0.3331963112584751,0.3033541308775177
126_results_output.csv,126_results_output.csv,0.48948919264977964,0.48948919264977964
134_results_output.csv,134_results_output.csv,0.3493199699356868,0.3177507034422424
139_results_output.csv,139_results_output.csv,0.29961222150172373,0.2722836349106343
161_results_output.csv,161_results_output.csv,0.20313721569333953,0.17535624094354202
167_results_output.csv,167_results_output.csv,0.38516847686295314,0.35510870127725835
163_results_output.csv,163_results_output.csv,0.46466332588802894,0.4429710959531956
162_results_output.csv,162_results_output.csv,0.292613931870919,0.27904050324752
171_results_output.csv,171_results_output.csv,0.4464714017458623,0.39024294455806585
164_results_output.csv,164_results_output.csv,0.44882287379765484,0.4198087403469325
168_results_output.csv,168_results_output.csv,0.27649945496576656,0.24273185220763147
158_results_output.csv,158_results_output.csv,0.4501496769494274,0.4205475690393853
160_results_output.csv,160_results_output.csv,0.2852109106090607,0.2415765533383667
172_results_output.csv,172_results_output.csv,0.4788842412450475,0.4788842412450475
157_results_output.csv,157_results_output.csv,0.2006235846827984,0.19178802246782103
169_results_output.csv,169_results_output.csv,0.4014980149791625,0.36302670534864045
166_results_output.csv,166_results_output.csv,0.07180038221117349,0.09728546361900517
159_results_output.csv,159_results_output.csv,0.4522246592013167,0.43892757070994504
165_results_output.csv,165_results_output.csv,0.13828571842715648,0.09774633164211004
170_results_output.csv,170_results_output.csv,0.4606855636743833,0.4606855636743833
